tournament_name,start_date,end_date,center_name,center_location,pattern_name,pattern_length,pattern_volume,pattern_ratio,position,squad,name,hometown,score,average,+/-_200,match_play_record,points,earnings
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,1,A,T.J. Rock,"Las Vegas, Nev.",1648,235.43,248,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,2,A,Joshua Imhoff,"Little Rock, AR",1646,235.14,246,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,3,A,Matt Murtishaw,"Menifee, Calif.",1645,235.00,245,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,4,A,Tim Foy Jr.,"Seaford, Del.",1640,234.29,240,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,5,A,Nate Garcia,"Port St. Lucie, Fla.",1636,233.71,236,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,6,A,Cortez Schenck,"Phoenix, Ariz.",1630,232.86,230,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,6,A,Tyler Cortez Schenck,"Phoenix, Ariz.",1630,232.86,230,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,7,A,Tim Gruendler,"St. Louis, Mo.",1625,232.14,225,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,8,A,Austin Boulds,"Creal Springs, Ill.",1617,231.00,217,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,9,A,David Northouse,"Bryon Center, Mich.",1608,229.71,208,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,10,A,Spencer Robarge,"Springfield, Mo.",1596,228.00,196,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,11,A,"David ""Boog"" Krol","Nixa, Mo.",1595,227.86,195,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,12,A,Brian Robinson,"Morgantown, W. Va.",1588,226.86,188,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,13,A,Will Vidulich,"Budd Lake, N.J.",1588,226.86,188,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,14,A,Lyle Kuhlmann,"Woodruff, Wis.",1588,226.86,188,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,15,A,Bryan Bourget,"Woonsocket, R.I.",1579,225.57,179,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,16,A,Blake Demore,"Springfield, Mo.",1575,225.00,175,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,17,A,Ryan Barnes,"Denton, Texas",1563,223.29,163,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,18,A,Arnar Jonsson,Iceland,1556,222.29,156,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,19,A,David Haynes,Las Vegas,1553,221.86,153,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,20,A,Mike Eaton Jr.,"Byron Center, Mich.",1552,221.71,152,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,21,A,Carlos Granados,Venezuela,1549,221.29,149,,,
PBA Players Championship PTQ presented by Snickers,2024-01-09T12:00:00Z,,Northrock Lanes,3232 N Rock Rd Wichita KS 67226 United States,Viper,39,,,22,A,Nate Stubler,"LaSalle, Ill.",1547,221.00,147,,,
